player,squad,league,pos,age,nation,is_world_cup,playing_time_min,gls_per90,ast_per90,xg_per90,npxg_per90,xag_per90,sh_per90,sot_per90,touches_per90,prog_carries_per90,prog_passes_per90,tackles_tkl_per90,int_per90,clr_per90,pass_completion_pct,_match_score,_match_strategy,market_value_eur,market_value_raw,position_detail,age_tm,contract_expires,nationality_tm,image_url,local_image_path,sportsdb_image_url
Son Heung-min,Tottenham,Premier League,FW,32.0,KOR,1,1552.0,0.316,0.237,0.236,0.299,0.089,3.543,0.877,30.879,4.241,5.355,1.253,0.837,0.081,68.9,100.0,full_key,20720000.0,€20.7M,FW,32.0,2027.0,KOR,https://upload.wikimedia.org/wikipedia/commons/b/b0/BFA_2023_-2_Heung-Min_Son_%28cropped%29.jpg,app/static/players/son_heung-min.jpg,
James Maddison,Tottenham,Premier League,MF,28.0,ENG,1,1178.0,0.241,0.13,0.087,0.29,0.042,1.164,0.669,69.016,5.341,8.002,1.72,2.195,0.6,87.5,100.0,full_key,12550000.0,€12.6M,MF,28.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/9/92/James_Maddison_pre-match_training_%28cropped%29.jpg,app/static/players/james_maddison.jpg,
Pape Matar Sarr,Tottenham,Premier League,MF,22.0,SEN,1,1439.0,0.21,0.313,0.019,0.202,0.159,1.449,0.572,76.302,5.732,9.659,2.682,1.324,1.965,80.1,100.0,full_key,31440000.0,€31.4M,MF,22.0,2028.0,SEN,https://upload.wikimedia.org/wikipedia/commons/5/5a/Pape_Matar_Sarr.png,app/static/players/pape_matar_sarr.png,
Yves Bissouma,Tottenham,Premier League,MF,28.0,MLI,1,1085.0,0.401,0.274,0.053,0.073,0.149,1.797,0.24,67.305,6.765,6.884,2.947,1.526,0.0,73.0,100.0,full_key,10020000.0,€10.0M,MF,28.0,2025.0,MLI,https://upload.wikimedia.org/wikipedia/commons/b/b4/Bissouma_2018.jpg,app/static/players/yves_bissouma.jpg,
Pedro Porro,Tottenham,Premier League,DF,25.0,ESP,1,2791.0,0.02,0.0,0.066,0.043,0.0,1.471,0.01,61.945,4.374,6.815,3.408,1.897,4.289,80.4,100.0,full_key,11310000.0,€11.3M,DF,25.0,2025.0,ESP,https://upload.wikimedia.org/wikipedia/commons/8/85/Pedro_Porro_2021.png,app/static/players/pedro_porro.png,
Cristian Romero,Tottenham,Premier League,DF,26.0,ARG,1,2475.0,0.0,0.108,0.04,0.0,0.228,0.079,0.392,56.826,3.36,6.058,3.268,1.663,5.095,72.8,100.0,full_key,7650000.0,€7.7M,DF,26.0,2025.0,ARG,https://upload.wikimedia.org/wikipedia/commons/9/9a/Cristian_Romero_WC2022.jpg,app/static/players/cristian_romero.jpg,
Brennan Johnson,Tottenham,Premier League,FW,23.0,WAL,1,925.0,0.472,0.111,0.564,0.383,0.13,2.274,0.833,36.014,5.375,0.0,1.801,0.515,0.0,70.6,100.0,full_key,44560000.0,€44.6M,FW,23.0,2025.0,WAL,https://upload.wikimedia.org/wikipedia/commons/d/dc/Brennan_Johnson_%28cropped%29.jpg,app/static/players/brennan_johnson.jpg,
Dominic Solanke,Tottenham,Premier League,FW,27.0,ENG,1,2709.0,0.493,0.087,0.222,0.335,0.079,2.902,1.346,24.636,4.362,3.375,1.248,0.243,0.713,71.5,100.0,full_key,16330000.0,€16.3M,FW,27.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/d/d0/Dominic_Solanke_at_Avatar_fire_and_ash_premiere_London_2025.jpg,app/static/players/dominic_solanke.jpg,
Micky van de Ven,Tottenham,Premier League,DF,23.0,NED,1,2374.0,0.0,0.0,0.112,0.0,0.0,0.331,0.0,57.226,2.142,5.553,2.429,1.634,4.55,81.2,100.0,full_key,55000000.0,€55.0M,DF,23.0,2028.0,NED,https://upload.wikimedia.org/wikipedia/commons/3/3f/Micky_Van_De_Ven_pre-match_training_%28cropped%29.jpg,app/static/players/micky_van_de_ven.jpg,
Dejan Kulusevski,Tottenham,Premier League,MF,25.0,SWE,1,3093.0,0.317,0.25,0.098,0.22,0.257,0.82,0.689,70.296,6.892,5.543,3.003,1.527,1.909,84.0,100.0,full_key,20580000.0,€20.6M,MF,25.0,2028.0,SWE,https://upload.wikimedia.org/wikipedia/commons/2/2f/Sweden-Slovenia_Nations_League_2022-09-27_17_Kulusevski_%28cropped%29.jpg,app/static/players/dejan_kulusevski.jpg,
Fraser Forster,Tottenham,Premier League,GK,36.0,ENG,1,2276.0,0.12,0.0,0.025,0.0,0.0,0.057,0.123,36.591,0.487,2.168,0.157,0.0,1.816,66.7,100.0,full_key,1680000.0,€1.7M,GK,36.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/8/83/Fraser_Forster_09052026_%281%29.jpg,app/static/players/fraser_forster.jpg,
Destiny Udogie,Tottenham,Premier League,DF,22.0,ITA,1,2053.0,0.0,0.0,0.0,0.002,0.05,0.267,0.0,57.523,2.373,4.409,4.011,1.8,5.429,84.6,100.0,full_key,22720000.0,€22.7M,DF,22.0,2025.0,ITA,https://upload.wikimedia.org/wikipedia/commons/e/e5/Norway_Italy_-_June_2025_A_29_%28cropped%29.jpg,app/static/players/destiny_udogie.jpg,
Richarlison,Tottenham,Premier League,FW,27.0,BRA,1,2194.0,0.274,0.122,0.362,0.319,0.309,2.223,1.283,42.23,3.527,2.32,0.774,0.537,0.0,74.3,100.0,full_key,31010000.0,€31.0M,FW,27.0,2026.0,BRA,https://upload.wikimedia.org/wikipedia/commons/7/7a/Richarlison_%C3%A9_homenageado_na_ALES_%2810.July.2019%29_08_%28cropped%29.jpg,app/static/players/richarlison.jpg,
Manor Solomon,Tottenham,Premier League,FW,25.0,ISR,0,3130.0,0.425,0.227,0.429,0.369,0.172,2.969,1.177,19.19,3.22,0.764,0.058,0.0,0.033,68.1,100.0,full_key,41440000.0,€41.4M,FW,25.0,2026.0,ISR,https://upload.wikimedia.org/wikipedia/commons/3/39/Manor_Solomon_-_Press_Conference_-_Israel_Football_Association_-_26_May_2022_%28cropped%29.jpg,app/static/players/manor_solomon.jpg,
Ollie Watkins,Aston Villa,Premier League,FW,29.0,ENG,1,1834.0,0.471,0.208,0.49,0.587,0.226,3.355,0.901,48.301,6.878,1.819,1.942,0.641,0.352,69.7,100.0,full_key,65000000.0,€65.0M,FW,29.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/e/e1/Manchester_United_v_Aston_Villa%2C_25_September_2021_%2817%29_%28cropped%29.jpg,app/static/players/ollie_watkins.jpg,
Youri Tielemans,Aston Villa,Premier League,MF,27.0,BEL,1,1167.0,0.042,0.287,0.241,0.23,0.231,0.961,0.448,73.037,4.988,9.066,2.475,1.697,0.32,82.3,100.0,full_key,14530000.0,€14.5M,MF,27.0,2026.0,BEL,https://upload.wikimedia.org/wikipedia/commons/f/ff/Youri_Tielemans_USMNT_v_Belgium_Mar_28_2026-20_%28cropped%29.jpg,app/static/players/youri_tielemans.jpg,
Leon Bailey,Aston Villa,Premier League,FW,27.0,JAM,1,1840.0,0.331,0.193,0.339,0.352,0.0,3.696,1.236,33.121,4.35,3.518,2.078,0.45,1.444,77.8,100.0,full_key,15330000.0,€15.3M,FW,27.0,2026.0,JAM,https://upload.wikimedia.org/wikipedia/commons/f/f7/Leon_Bailey_bei_der_Saisoneroeffnung_August_2018.jpg,app/static/players/leon_bailey.jpg,
Emiliano Martinez,Aston Villa,Premier League,GK,32.0,ARG,1,1050.0,0.023,0.074,0.0,0.0,0.08,0.0,0.056,43.613,0.515,4.066,0.097,0.173,0.595,58.0,100.0,full_key,6240000.0,€6.2M,GK,32.0,2027.0,ARG,https://upload.wikimedia.org/wikipedia/commons/4/41/St._Louis_City_vs_Aston_Villa_%28Jul_2025%29_14_%28Emiliano_Mart%C3%ADnez%29.jpg,app/static/players/emiliano_martinez.jpg,
Jhon Duran,Aston Villa,Premier League,FW,21.0,COL,1,1722.0,0.56,0.152,0.394,0.215,0.213,2.242,1.013,32.391,4.163,2.887,2.483,0.764,0.628,62.5,100.0,full_key,35000000.0,€35.0M,FW,21.0,2026.0,COL,https://upload.wikimedia.org/wikipedia/commons/7/74/Jhon_Dur%C3%A1n%2C_Esteghlal_FC_vs_Al-Nassr_FC_%28ACLElite%29%3B_3_Mar_2025.png,app/static/players/jhon_duran.png,
Douglas Luiz,Aston Villa,Premier League,MF,27.0,BRA,1,1766.0,0.104,0.235,0.175,0.331,0.134,1.886,0.566,65.914,5.616,10.137,2.927,1.75,0.52,83.3,100.0,full_key,26990000.0,€27.0M,MF,27.0,2028.0,BRA,https://upload.wikimedia.org/wikipedia/commons/2/24/Douglas_Luiz_April_2026_%28cropped%29.jpg,app/static/players/douglas_luiz.jpg,
Pau Torres,Aston Villa,Premier League,DF,28.0,ESP,1,983.0,0.0,0.254,0.074,0.0,0.0,0.46,0.102,55.91,1.137,5.62,3.366,2.363,4.706,86.9,100.0,full_key,22960000.0,€23.0M,DF,28.0,2025.0,ESP,https://upload.wikimedia.org/wikipedia/commons/c/ca/Pau_Torres_April_2026_%28cropped%29.jpg,app/static/players/pau_torres.jpg,
Ezri Konsa,Aston Villa,Premier League,DF,27.0,ENG,1,1532.0,0.0,0.0,0.169,0.0,0.0,0.923,0.0,58.234,1.698,4.846,3.445,2.186,5.649,74.8,100.0,full_key,16900000.0,€16.9M,DF,27.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/0/0a/Ezri_Konsa_April_2026_%28cropped%29.jpg,app/static/players/ezri_konsa.jpg,
Morgan Rogers,Aston Villa,Premier League,FW,22.0,ENG,1,1314.0,0.575,0.371,0.427,0.443,0.093,3.368,1.21,29.734,3.769,0.746,1.208,0.45,1.649,77.1,100.0,full_key,38630000.0,€38.6M,FW,22.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/1/1e/Morgan_Rogers_April_2026_%28cropped%29.jpg,app/static/players/morgan_rogers.jpg,
Rasmus Hojlund,Manchester Utd,Premier League,FW,22.0,DEN,1,905.0,0.338,0.196,0.459,0.314,0.117,2.776,1.217,48.755,3.689,2.251,1.945,0.206,0.0,86.5,100.0,full_key,23620000.0,€23.6M,FW,22.0,2028.0,DEN,https://upload.wikimedia.org/wikipedia/commons/d/d3/Rasmus_H%C3%B8jlund_with_a_fan.jpg,app/static/players/rasmus_hojlund.jpg,
Bruno Fernandes,Manchester Utd,Premier League,MF,30.0,POR,1,1629.0,0.226,0.181,0.061,0.134,0.295,1.159,0.842,55.278,5.523,10.984,2.429,1.326,1.05,93.4,100.0,full_key,24400000.0,€24.4M,MF,30.0,2027.0,POR,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_%28cropped%29.jpg,app/static/players/bruno_fernandes.jpg,
Marcus Rashford,Manchester Utd,Premier League,FW,27.0,ENG,1,2369.0,0.382,0.219,0.432,0.413,0.028,2.95,0.831,44.062,4.405,3.335,0.782,0.703,0.096,80.2,100.0,full_key,17400000.0,€17.4M,FW,27.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/1/11/Marcus_Rashford_in_2023.jpg,app/static/players/marcus_rashford.jpg,
Alejandro Garnacho,Manchester Utd,Premier League,FW,20.0,ARG,1,2977.0,0.613,0.291,0.479,0.44,0.19,3.431,1.532,46.75,4.694,5.47,0.708,0.954,0.0,74.6,100.0,full_key,60000000.0,€60.0M,FW,20.0,2026.0,ARG,https://upload.wikimedia.org/wikipedia/commons/a/ab/Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg,app/static/players/alejandro_garnacho.jpg,
Kobbie Mainoo,Manchester Utd,Premier League,MF,19.0,ENG,1,1085.0,0.327,0.31,0.139,0.128,0.321,3.075,0.026,83.224,7.486,6.847,2.589,1.866,0.0,79.0,100.0,full_key,65000000.0,€65.0M,MF,19.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/8/88/FA_Cup_Final.jpg,app/static/players/kobbie_mainoo.jpg,
Mason Mount,Manchester Utd,Premier League,MF,26.0,ENG,1,2124.0,0.03,0.195,0.155,0.227,0.232,1.574,0.202,64.716,6.42,8.267,2.185,1.536,0.122,88.1,100.0,full_key,18580000.0,€18.6M,MF,26.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/3/32/Mountbrightonoct3_2019_%28cropped%29.jpg,app/static/players/mason_mount.jpg,
Lisandro Martinez,Manchester Utd,Premier League,DF,27.0,ARG,1,2360.0,0.0,0.053,0.063,0.162,0.0,0.156,0.132,70.746,4.592,5.441,3.188,2.586,4.911,78.8,100.0,full_key,24470000.0,€24.5M,DF,27.0,2026.0,ARG,https://upload.wikimedia.org/wikipedia/commons/6/61/Lisandro_Martinez_2022.jpg,app/static/players/lisandro_martinez.jpg,
Luke Shaw,Manchester Utd,Premier League,DF,29.0,ENG,1,3043.0,0.17,0.135,0.0,0.0,0.09,0.564,0.212,59.543,1.058,5.971,3.329,2.183,4.111,86.3,100.0,full_key,9140000.0,€9.1M,DF,29.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/b/b3/Luke_Shaw%2C_Manchester_United_v_Newcastle_United%2C_11_September_2021_%2844%29_%28cropped%29.jpg,app/static/players/luke_shaw.jpg,
Andre Onana,Manchester Utd,Premier League,GK,28.0,CMR,1,966.0,0.236,0.003,0.092,0.0,0.0,0.0,0.0,34.043,0.186,1.57,0.086,0.151,1.181,65.0,100.0,full_key,4600000.0,€4.6M,GK,28.0,2027.0,CMR,https://upload.wikimedia.org/wikipedia/commons/6/67/Andr%C3%A9_Onana.jpg,app/static/players/andre_onana.jpg,
Diogo Dalot,Manchester Utd,Premier League,DF,26.0,POR,1,1661.0,0.138,0.089,0.0,0.027,0.076,0.562,0.076,63.649,3.246,4.893,3.653,2.027,2.925,84.7,100.0,full_key,25660000.0,€25.7M,DF,26.0,2026.0,POR,https://upload.wikimedia.org/wikipedia/commons/1/1f/Diogo_Dalot_USMNT_v_Portugal_Mar_31_2026-12.jpg,app/static/players/diogo_dalot.jpg,
Alexander Isak,Newcastle,Premier League,FW,25.0,SWE,1,1827.0,0.5,0.312,0.267,0.529,0.079,4.197,1.292,44.178,5.11,3.779,1.309,0.967,0.528,76.5,100.0,full_key,80000000.0,€80.0M,FW,25.0,2025.0,SWE,https://upload.wikimedia.org/wikipedia/commons/4/4f/Sweden_-_Greece21_%28cropped%29.jpg,app/static/players/alexander_isak.jpg,
Anthony Gordon,Newcastle,Premier League,FW,23.0,ENG,1,2421.0,0.458,0.254,0.455,0.458,0.093,2.598,1.045,14.108,3.484,4.331,0.41,0.843,0.545,71.2,100.0,full_key,28130000.0,€28.1M,FW,23.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/6/6e/Gordon_in_2024_%28cropped%29.jpg,app/static/players/anthony_gordon.jpg,
Bruno Guimaraes,Newcastle,Premier League,MF,27.0,BRA,1,936.0,0.206,0.211,0.005,0.105,0.07,1.15,0.597,57.994,4.28,6.753,1.829,1.026,1.029,95.2,100.0,full_key,31830000.0,€31.8M,MF,27.0,2028.0,BRA,https://upload.wikimedia.org/wikipedia/commons/8/8e/Bruno_Guimar%C3%A3es.png,app/static/players/bruno_guimaraes.png,
Harvey Barnes,Newcastle,Premier League,FW,26.0,ENG,1,2305.0,0.209,0.134,0.347,0.209,0.259,2.383,0.742,35.04,3.739,3.224,0.0,0.291,0.595,72.2,100.0,full_key,42310000.0,€42.3M,FW,26.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/5/5c/Harvey_Barnes_2022_%28cropped%29.jpg,app/static/players/harvey_barnes.jpg,
Fabian Schar,Newcastle,Premier League,DF,32.0,SUI,1,1580.0,0.037,0.117,0.061,0.0,0.11,0.815,0.0,69.698,2.361,6.432,3.667,1.737,5.375,85.4,100.0,full_key,16270000.0,€16.3M,DF,32.0,2028.0,SUI,https://upload.wikimedia.org/wikipedia/commons/6/6d/Fabian_Sch%C3%A4r.jpg,app/static/players/fabian_schar.jpg,
Sandro Tonali,Newcastle,Premier League,MF,24.0,ITA,1,2876.0,0.139,0.203,0.077,0.212,0.04,2.136,0.395,68.267,4.604,7.191,2.54,1.386,2.021,93.8,100.0,full_key,19400000.0,€19.4M,MF,24.0,2026.0,ITA,https://upload.wikimedia.org/wikipedia/commons/f/f5/Norway_Italy_-_June_2025_B_03.jpg,app/static/players/sandro_tonali.jpg,
Kieran Trippier,Newcastle,Premier League,DF,34.0,ENG,1,2725.0,0.0,0.083,0.166,0.0,0.0,1.168,0.0,46.372,3.14,5.887,2.415,1.244,4.901,87.4,100.0,full_key,3620000.0,€3.6M,DF,34.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/d/d8/Kieran_Trippier_2018-07-14_1.jpg,app/static/players/kieran_trippier.jpg,
Nick Pope,Newcastle,Premier League,GK,33.0,ENG,1,2325.0,0.0,0.0,0.0,0.013,0.053,0.0,0.0,45.716,0.0,2.592,0.0,0.0,0.798,69.1,100.0,full_key,8560000.0,€8.6M,GK,33.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/7/78/Nick_Pope_23-04-2016_1.jpg,app/static/players/nick_pope.jpg,
Joelinton,Newcastle,Premier League,MF,28.0,BRA,1,1881.0,0.239,0.185,0.001,0.042,0.211,0.598,0.3,75.619,4.678,8.921,2.736,1.694,0.651,91.4,100.0,full_key,24450000.0,€24.4M,MF,28.0,2027.0,BRA,https://upload.wikimedia.org/wikipedia/commons/5/5f/Joelinton_%28cropped%29.jpg,app/static/players/joelinton.jpg,
Joao Pedro,Brighton,Premier League,FW,23.0,BRA,1,2164.0,0.455,0.126,0.492,0.33,0.122,2.222,0.665,31.732,5.025,2.211,0.78,1.195,0.794,72.0,100.0,full_key,40000000.0,€40.0M,FW,23.0,2028.0,BRA,https://upload.wikimedia.org/wikipedia/commons/1/1d/Jo%C3%A3o_Pedro%2C_2025_FIFA_Club_World_Cup_final_%2854654843615%29.jpg,app/static/players/joao_pedro.jpg,
Kaoru Mitoma,Brighton,Premier League,FW,27.0,JPN,1,2340.0,0.52,0.083,0.203,0.282,0.158,2.632,1.351,25.015,5.263,2.944,0.719,0.35,1.48,69.8,100.0,full_key,50000000.0,€50.0M,FW,27.0,2027.0,JPN,https://upload.wikimedia.org/wikipedia/commons/9/90/Kaoru_Mitoma_%282022%29.jpg,app/static/players/kaoru_mitoma.jpg,
Evan Ferguson,Brighton,Premier League,FW,20.0,IRL,1,3247.0,0.502,0.235,0.35,0.429,0.217,3.181,1.405,31.258,3.981,4.994,1.299,0.595,0.865,72.9,100.0,full_key,45000000.0,€45.0M,FW,20.0,2026.0,IRL,https://upload.wikimedia.org/wikipedia/commons/8/8f/Evan_Ferguson_YantsImages_-_Asatur_Yesayants_626_%28cropped%29.jpg,app/static/players/evan_ferguson.jpg,
Pascal Gross,Brighton,Premier League,MF,33.0,GER,1,2293.0,0.156,0.269,0.0,0.13,0.241,1.164,0.762,70.638,4.101,8.221,2.837,1.134,0.331,91.9,100.0,full_key,14430000.0,€14.4M,MF,33.0,2028.0,GER,https://upload.wikimedia.org/wikipedia/commons/4/41/Pascal_Gross.jpg,app/static/players/pascal_gross.jpg,
Simon Adingra,Brighton,Premier League,FW,22.0,CIV,1,2574.0,0.306,0.211,0.502,0.374,0.136,3.284,1.0,38.41,2.42,0.583,1.448,0.867,2.766,73.1,100.0,full_key,44040000.0,€44.0M,FW,22.0,2025.0,CIV,https://upload.wikimedia.org/wikipedia/commons/4/40/Simon_Adingra_USG_2023.jpg,app/static/players/simon_adingra.jpg,
Carlos Baleba,Brighton,Premier League,MF,21.0,CMR,1,2917.0,0.181,0.167,0.093,0.084,0.254,1.538,0.454,64.927,6.628,10.687,0.975,1.226,1.021,88.0,100.0,full_key,24780000.0,€24.8M,MF,21.0,2027.0,CMR,https://upload.wikimedia.org/wikipedia/commons/0/09/Carlos_Baleba_2026.jpg,app/static/players/carlos_baleba.jpg,
Jan Paul van Hecke,Brighton,Premier League,DF,25.0,NED,1,2155.0,0.0,0.038,0.0,0.055,0.009,0.0,0.305,58.081,2.609,6.84,3.302,2.15,5.117,77.3,100.0,full_key,6140000.0,€6.1M,DF,25.0,2025.0,NED,https://upload.wikimedia.org/wikipedia/commons/7/72/Jan_Paul_van_Hecke_24012026_%282%29_%28cropped%29.jpg,app/static/players/jan_paul_van_hecke.jpg,
Jarrod Bowen,West Ham,Premier League,FW,28.0,ENG,1,2047.0,0.458,0.147,0.243,0.289,0.288,2.961,0.929,40.692,3.84,1.021,0.323,0.0,1.438,78.1,100.0,full_key,17820000.0,€17.8M,FW,28.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/3/31/JarrodBowen2023_%28cropped%29.jpeg,app/static/players/jarrod_bowen.jpeg,
Lucas Paqueta,West Ham,Premier League,MF,27.0,BRA,1,2740.0,0.159,0.193,0.208,0.051,0.236,0.715,0.221,74.105,4.872,7.069,3.004,2.151,1.345,94.3,100.0,full_key,30190000.0,€30.2M,MF,27.0,2026.0,BRA,https://upload.wikimedia.org/wikipedia/commons/d/dc/Lucas_Paquet%C3%A1_of_West_Ham.jpeg,app/static/players/lucas_paqueta.jpeg,
Mohammed Kudus,West Ham,Premier League,FW,24.0,GHA,1,3085.0,0.227,0.149,0.404,0.268,0.064,2.904,1.195,23.591,4.727,1.179,0.211,0.736,0.0,74.8,100.0,full_key,20910000.0,€20.9M,FW,24.0,2027.0,GHA,https://upload.wikimedia.org/wikipedia/commons/e/ef/Mohammed_Kudus_of_West_Ham_United.jpeg,app/static/players/mohammed_kudus.jpeg,
Edson Alvarez,West Ham,Premier League,MF,26.0,MEX,1,2941.0,0.097,0.322,0.053,0.058,0.123,2.145,0.508,58.915,6.092,9.291,2.488,1.253,0.0,82.3,100.0,full_key,22310000.0,€22.3M,MF,26.0,2027.0,MEX,https://upload.wikimedia.org/wikipedia/commons/9/91/Edson_%C3%81lvarez.png,app/static/players/edson_alvarez.png,
James Ward-Prowse,West Ham,Premier League,MF,30.0,ENG,1,3176.0,0.031,0.223,0.118,0.087,0.214,2.008,0.582,47.116,4.628,9.349,2.007,1.717,0.836,90.5,100.0,full_key,20980000.0,€21.0M,MF,30.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/8/8b/James_Ward-Prowse_in_2024.jpeg,app/static/players/james_ward-prowse.jpeg,
Dominic Calvert-Lewin,Everton,Premier League,FW,27.0,ENG,1,1226.0,0.104,0.256,0.517,0.265,0.075,3.167,1.701,54.508,3.119,4.845,0.69,0.645,0.07,66.9,100.0,full_key,36980000.0,€37.0M,FW,27.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/5/5e/Dominic_Calvert-Lewin_13092025_%285%29.jpg,app/static/players/dominic_calvert-lewin.jpg,
Idrissa Gueye,Everton,Premier League,MF,35.0,SEN,1,1558.0,0.063,0.247,0.281,0.171,0.162,1.38,0.005,73.44,5.354,8.729,1.22,1.388,0.0,85.1,100.0,full_key,4340000.0,€4.3M,MF,35.0,2025.0,SEN,https://upload.wikimedia.org/wikipedia/commons/a/ac/Idrissa_Gueye_%28cropped%29.jpg,app/static/players/idrissa_gueye.jpg,
Dwight McNeil,Everton,Premier League,FW,25.0,ENG,1,1518.0,0.305,0.255,0.529,0.405,0.184,2.723,1.331,36.578,4.843,3.452,0.28,0.391,0.941,68.5,100.0,full_key,25670000.0,€25.7M,FW,25.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/f/fc/Dwight_McNeil_controls_the_ball.jpg,app/static/players/dwight_mcneil.jpg,
Pedro Neto,Chelsea,Premier League,FW,24.0,POR,1,3050.0,0.693,0.136,0.49,0.509,0.123,3.594,0.952,35.59,5.495,3.08,1.33,0.849,0.267,74.4,100.0,full_key,60000000.0,€60.0M,FW,24.0,2025.0,POR,https://upload.wikimedia.org/wikipedia/commons/f/f1/Pedro_Neto_USMNT_v_Portugal_Mar_31_2026-48.jpg,app/static/players/pedro_neto.jpg,
Neto Murara,Bournemouth,Premier League,GK,36.0,BRA,1,3235.0,0.095,0.019,0.031,0.115,0.0,0.0,0.0,43.949,0.154,3.806,0.107,0.376,1.511,55.9,100.0,full_key,1400000.0,€1.4M,GK,36.0,2026.0,BRA,https://upload.wikimedia.org/wikipedia/commons/9/96/Norberto_Murara_Neto_2019.jpg,app/static/players/neto_murara.jpg,
Antoine Semenyo,Bournemouth,Premier League,FW,25.0,GHA,1,2523.0,0.341,0.223,0.356,0.292,0.163,3.162,1.248,35.417,4.927,2.912,1.306,0.583,0.519,80.9,100.0,full_key,26790000.0,€26.8M,FW,25.0,2025.0,GHA,https://upload.wikimedia.org/wikipedia/commons/6/64/Antoine_Semenyo_2026.png,app/static/players/antoine_semenyo.png,
Dango Ouattara,Bournemouth,Premier League,FW,23.0,BFA,1,1689.0,0.315,0.224,0.426,0.236,0.17,2.609,1.623,19.125,3.769,4.239,1.422,0.152,0.057,72.6,100.0,full_key,28430000.0,€28.4M,FW,23.0,2026.0,BFA,https://upload.wikimedia.org/wikipedia/commons/b/b2/Dango_Ouattara_29112025_%281%29.jpg,app/static/players/dango_ouattara.jpg,
Tyler Adams,Bournemouth,Premier League,MF,26.0,USA,1,3162.0,0.06,0.237,0.212,0.064,0.211,0.925,0.435,66.637,5.126,7.686,2.334,1.159,0.0,88.6,100.0,full_key,8940000.0,€8.9M,MF,26.0,2025.0,USA,https://upload.wikimedia.org/wikipedia/commons/a/a4/Tyler_Adams_09052026_%284%29.jpg,app/static/players/tyler_adams.jpg,
Ethan Nwaneri,Arsenal,Premier League,MF,18.0,ENG,1,3194.0,0.0,0.248,0.033,0.243,0.244,2.248,0.114,62.917,5.448,9.114,2.201,1.493,0.086,83.2,100.0,full_key,35680000.0,€35.7M,MF,18.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/c/cd/Ethan_Nwaneri.png,app/static/players/ethan_nwaneri.png,
Myles Lewis-Skelly,Arsenal,Premier League,DF,18.0,ENG,1,1629.0,0.0,0.191,0.0,0.0,0.005,0.101,0.217,50.453,1.502,4.263,3.243,1.737,3.329,77.4,100.0,full_key,12210000.0,€12.2M,DF,18.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/9/99/Myles_Lewis-Skelly.png,app/static/players/myles_lewis-skelly.png,
Harry Kane,Bayern Munich,Bundesliga,FW,31.0,ENG,1,2144.0,0.608,0.269,0.555,0.402,0.161,3.817,1.192,45.598,6.977,2.725,1.75,0.322,0.793,65.7,100.0,full_key,60000000.0,€60.0M,FW,31.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/9/91/Harry_Kane_on_October_10%2C_2023.jpg,app/static/players/harry_kane.jpg,
Leroy Sane,Bayern Munich,Bundesliga,FW,28.0,GER,1,2764.0,0.484,0.045,0.488,0.418,0.05,3.624,1.147,45.663,4.548,3.405,0.981,0.906,0.0,70.2,100.0,full_key,26410000.0,€26.4M,FW,28.0,2028.0,GER,https://upload.wikimedia.org/wikipedia/commons/b/bf/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_22.jpg,app/static/players/leroy_sane.jpg,
Serge Gnabry,Bayern Munich,Bundesliga,FW,29.0,GER,1,2012.0,0.562,0.22,0.461,0.418,0.06,3.788,1.361,39.135,3.968,3.955,0.544,0.756,0.428,67.8,100.0,full_key,35890000.0,€35.9M,FW,29.0,2027.0,GER,https://upload.wikimedia.org/wikipedia/commons/5/55/Serge_Gnabry_WC2022.jpg,app/static/players/serge_gnabry.jpg,
